transaction_id,account_id,txn_date,amount,currency,direction,counterparty_country,channel
T0000057,C00005-A2,2024-04-09,19170.46,USD,Debit,GB,Branch
T0000058,C00005-A2,2024-01-26,74474.96,EUR,Credit,FR,Web
T0000059,C00005-A2,2022-04-26,72188.96,GBP,Debit,NG,Branch
T0000060,C00005-A2,2024-11-08,56308.57,GBP,Credit,TR,Mobile
T0000061,C00005-A2,2022-07-19,68973.18,GBP,Debit,TR,Intl Transfer
T0000062,C00005-A2,2022-12-31,47765.75,CHF,Credit,MA,Branch
T0000063,C00005-A2,2024-03-12,15287.31,USD,Debit,RU,SEPA Transfer
T0000064,C00005-A2,2022-04-12,55581.3,USD,Credit,GB,Intl Transfer
T0000065,C00005-A3,2024-10-27,88914.38,USD,Credit,NG,Intl Transfer
T0000066,C00005-A3,2024-08-15,28192.31,CHF,Debit,CN,SEPA Transfer
T0000067,C00005-A3,2022-07-24,45531.92,USD,Debit,RU,Mobile
T0000068,C00005-A3,2023-08-02,69574.92,GBP,Debit,DE,Intl Transfer
T0000069,C00005-A3,2024-08-09,15383.18,USD,Debit,AE,Branch
T0000070,C00005-A3,2022-09-27,30699.91,GBP,Credit,CN,Branch
T0000071,C00005-A3,2022-08-20,35857.76,GBP,Credit,GB,SEPA Transfer
T0000072,C00005-A3,2023-01-04,11144.06,CHF,Debit,IT,Web
T0000073,C00005-A3,2022-03-22,88660.71,USD,Credit,CN,Mobile
T0000074,C00005-A3,2024-08-20,7846.27,EUR,Debit,IT,SEPA Transfer
T0000075,C00005-A3,2022-02-11,75607.83,EUR,Debit,RU,SEPA Transfer
T0000076,C00005-A3,2024-10-25,56076.5,CHF,Credit,IR,Web
T0000077,C00005-A3,2023-08-10,12076.88,USD,Debit,NG,Intl Transfer
T0000078,C00005-A3,2024-05-16,85823.22,USD,Debit,XX,Branch
T0000079,C00005-A3,2023-08-30,19647.73,GBP,Credit,RU,SEPA Transfer
T0000080,C00006-A1,2022-03-24,5931.61,CHF,Debit,BR,SEPA Transfer
T0000081,C00006-A1,2022-11-08,29959.1,EUR,Debit,XX,Mobile
T0000082,C00006-A1,2022-02-11,47037.74,CHF,Credit,NG,SEPA Transfer
T0000083,C00006-A1,2023-10-19,32694.22,USD,Credit,IR,Intl Transfer
T0000084,C00006-A1,2022-12-15,71276.87,EUR,Credit,BR,Mobile
T0000085,C00006-A1,2023-11-23,11403.64,CHF,Debit,XX,Branch
T0000086,C00006-A1,2023-12-06,41051.9,CHF,Debit,DE,Mobile
T0000087,C00006-A1,2024-03-21,74096.99,CHF,Credit,XX,Branch
T0000088,C00006-A1,2024-07-03,40537.24,GBP,Credit,AE,Intl Transfer
T0000089,C00006-A1,2024-09-03,45691.31,EUR,Credit,IT,Web
T0000090,C00006-A1,2022-10-21,83283.85,CHF,Debit,IT,Web
T0000091,C00006-A1,2023-11-23,86292.43,CHF,Debit,MA,Intl Transfer
T0000092,C00006-A1,2024-02-06,28399.54,USD,Debit,DE,Mobile
T0000093,C00006-A2,2022-04-03,36797.59,USD,Credit,AE,Intl Transfer
T0000094,C00006-A2,2023-05-14,56558.55,CHF,Debit,CN,Web
T0000095,C00006-A2,2023-02-27,30569.11,GBP,Debit,ES,SEPA Transfer
T0000096,C00006-A2,2022-08-05,56103.88,EUR,Debit,GB,Branch
T0000097,C00006-A2,2022-12-25,26066.56,EUR,Credit,DE,Mobile
T0000098,C00006-A2,2022-09-12,40969.21,EUR,Credit,ES,Web
T0000099,C00006-A2,2024-01-15,64031.23,USD,Credit,BR,Branch
T0000100,C00006-A2,2024-01-07,85684.3,GBP,Credit,LU,Mobile
T0000101,C00007-A1,2022-03-22,73176.44,CHF,Debit,CN,Web
T0000102,C00007-A1,2024-12-09,15682.71,EUR,Credit,AE,Web
T0000103,C00007-A1,2023-09-27,82822.59,USD,Credit,US,SEPA Transfer
T0000104,C00007-A1,2024-09-01,71706.47,CHF,Credit,TR,Mobile
T0000105,C00007-A1,2024-10-29,15222.4,EUR,Debit,LU,Intl Transfer
T0000106,C00007-A1,2023-09-06,56612.34,GBP,Credit,BR,Web
T0000107,C00008-A1,2023-02-09,84743.98,CHF,Credit,LU,Web
T0000108,C00008-A1,2023-12-03,1701.43,USD,Debit,SY,SEPA Transfer
T0000109,C00008-A1,2023-01-13,57015.86,EUR,Debit,DE,SEPA Transfer
T0000110,C00008-A1,2024-08-09,73369.55,USD,Debit,MA,Branch
T0000111,C00008-A1,2023-04-12,83325.34,USD,Debit,SY,Web
T0000112,C00008-A1,2022-09-04,81196.56,CHF,Debit,GB,Intl Transfer
T0000113,C00008-A1,2022-01-21,33090.08,USD,Debit,KP,Intl Transfer
T0000114,C00008-A1,2024-06-08,25841.78,EUR,Debit,TR,Intl Transfer
T0000115,C00008-A1,2024-11-08,87238.35,CHF,Credit,CN,SEPA Transfer
T0000116,C00008-A1,2024-01-23,31205.44,CHF,Credit,AE,Web
T0000117,C00008-A1,2023-05-30,52480.85,USD,Credit,FR,Branch
T0000118,C00008-A1,2023-04-18,47980.84,CHF,Debit,KP,Intl Transfer
T0000119,C00008-A1,2022-02-04,66386.02,USD,Credit,ES,Branch
T0000120,C00008-A2,2024-09-19,83929.42,EUR,Credit,US,SEPA Transfer
T0000121,C00008-A2,2024-02-20,50265.13,GBP,Debit,US,Mobile
T0000122,C00008-A2,2022-02-20,65911.41,USD,Credit,BR,Mobile
T0000123,C00008-A2,2024-10-26,63209.18,USD,Credit,XX,SEPA Transfer
T0000124,C00008-A2,2023-06-11,17533.04,EUR,Credit,ES,SEPA Transfer
T0000125,C00008-A2,2022-02-21,69250.73,USD,Debit,LU,Mobile
T0000126,C00008-A2,2022-10-16,45590.27,USD,Credit,LU,SEPA Transfer
T0000127,C00008-A2,2024-10-23,28516.33,USD,Debit,RU,SEPA Transfer
T0000128,C00008-A2,2022-08-23,55600.02,EUR,Debit,KY,SEPA Transfer
T0000129,C00008-A2,2022-04-25,10075.01,EUR,Credit,AE,Branch
T0000130,C00009-A1,2022-03-16,8271.25,USD,Credit,FR,Intl Transfer
T0000131,C00009-A2,2024-07-19,17793.68,GBP,Credit,KY,Branch
T0000132,C00009-A2,2023-09-28,67760.11,GBP,Credit,TR,Branch
T0000133,C00009-A2,2022-09-06,35165.07,CHF,Debit,BE,Intl Transfer
T0000134,C00009-A2,2023-11-22,55322.43,GBP,Credit,FR,Web
T0000135,C00009-A2,2022-06-17,1105.58,GBP,Credit,SY,SEPA Transfer
T0000136,C00009-A2,2022-09-03,69453.23,GBP,Debit,IT,Intl Transfer
T0000137,C00009-A2,2022-04-08,80482.12,USD,Debit,ES,Web
T0000138,C00009-A2,2024-08-10,65136.52,USD,Debit,CH,Branch
T0000139,C00009-A2,2022-10-20,81802.13,USD,Credit,US,Mobile
T0000140,C00009-A2,2023-08-21,31688.69,EUR,Credit,KP,Mobile
T0000141,C00009-A2,2024-03-31,29506.69,CHF,Debit,CH,Mobile
T0000142,C00009-A3,2022-04-19,84267.76,USD,Debit,GB,Mobile
T0000143,C00009-A3,2024-07-25,80950.06,CHF,Debit,CN,SEPA Transfer
T0000144,C00009-A3,2024-09-30,41761.19,USD,Credit,PA,Intl Transfer
T0000145,C00009-A3,2023-11-26,64649.29,USD,Debit,TR,SEPA Transfer
T0000146,C00009-A3,2024-06-03,3430.94,GBP,Debit,CH,Branch
T0000147,C00009-A3,2022-08-29,60051.0,GBP,Debit,CN,Web
T0000148,C00009-A3,2023-05-11,66685.16,CHF,Debit,TR,SEPA Transfer
T0000149,C00009-A3,2024-08-29,81414.5,GBP,Credit,TR,Web
T0000150,C00009-A3,2024-08-05,52042.43,GBP,Debit,AE,Branch
T0000151,C00009-A3,2023-05-09,6169.77,EUR,Credit,KY,Branch
T0000152,C00009-A3,2023-03-14,13393.9,CHF,Debit,CH,Web
T0000153,C00010-A1,2023-04-07,20975.52,USD,Credit,CN,Intl Transfer
T0000154,C00010-A1,2023-11-23,2390.58,USD,Credit,CN,Web
T0000155,C00010-A1,2024-12-06,59826.88,GBP,Credit,GB,Mobile
T0000156,C00010-A1,2024-10-01,3935.55,USD,Debit,FR,Branch
T0000157,C00010-A1,2022-05-26,44639.73,GBP,Credit,GB,SEPA Transfer
T0000158,C00010-A1,2022-05-08,49099.87,GBP,Credit,KY,SEPA Transfer
T0000159,C00010-A1,2024-11-30,8256.54,CHF,Debit,DE,Intl Transfer
T0000160,C00010-A1,2022-09-02,42050.02,USD,Debit,KP,SEPA Transfer
T0000161,C00010-A1,2024-01-17,9042.63,GBP,Credit,RU,Mobile
T0000162,C00010-A1,2024-03-12,63637.52,GBP,Credit,FR,Web
T0000163,C00010-A1,2022-06-17,24329.53,GBP,Debit,GB,Intl Transfer
T0000164,C00010-A1,2024-03-21,8301.17,USD,Debit,CH,Web
T0000165,C00010-A1,2023-06-19,23850.14,GBP,Credit,ES,Web
T0000166,C00010-A1,2023-12-11,18150.06,CHF,Credit,GB,SEPA Transfer
T0000167,C00010-A1,2023-12-22,85207.48,USD,Debit,KP,SEPA Transfer
T0000168,C00010-A2,2023-09-27,8956.37,USD,Credit,AE,Web
T0000169,C00010-A2,2023-10-15,12925.5,EUR,Debit,NG,SEPA Transfer
T0000170,C00010-A2,2023-02-11,73182.27,EUR,Debit,SY,SEPA Transfer
T0000171,C00010-A2,2023-11-03,31220.41,USD,Debit,BR,Intl Transfer
T0000172,C00010-A2,2022-07-04,27952.01,USD,Debit,FR,Web
T0000173,C00010-A2,2022-10-28,5935.33,GBP,Credit,MA,Intl Transfer
T0000174,C00010-A2,2023-04-13,19930.12,CHF,Credit,RU,Mobile
T0000175,C00010-A2,2024-03-16,30721.88,CHF,Credit,TR,Branch
T0000176,C00010-A2,2023-11-08,26450.87,EUR,Credit,IT,Intl Transfer
T0000177,C00011-A1,2022-04-20,5488.45,CHF,Credit,GB,Web
T0000178,C00012-A1,2023-08-19,86353.82,CHF,Debit,KP,Intl Transfer
T0000179,C00012-A1,2022-01-01,30983.65,GBP,Credit,XX,SEPA Transfer
T0000180,C00012-A1,2023-05-27,61759.22,CHF,Debit,FR,SEPA Transfer
T0000181,C00012-A1,2022-06-11,78006.94,CHF,Credit,NG,Web
T0000182,C00012-A1,2023-07-01,88766.64,CHF,Debit,IT,SEPA Transfer
T0000183,C00012-A1,2023-03-27,70569.08,EUR,Credit,BR,Web
T0000184,C00012-A1,2024-08-10,42096.73,USD,Debit,DE,Branch
T0000185,C00012-A1,2024-08-29,4214.33,CHF,Credit,PA,Mobile
T0000186,C00012-A1,2023-11-13,45865.58,USD,Debit,BR,Mobile
T0000187,C00013-A1,2023-07-05,28103.01,USD,Debit,AE,Branch
T0000188,C00013-A1,2024-04-27,51477.13,GBP,Credit,SY,Intl Transfer
T0000189,C00013-A1,2022-01-02,10186.19,GBP,Credit,FR,Intl Transfer
T0000190,C00013-A1,2023-05-27,28772.43,CHF,Debit,FR,Mobile
T0000191,C00014-A1,2022-05-08,22186.74,USD,Credit,RU,Branch
T0000192,C00014-A1,2023-08-28,56864.52,GBP,Credit,IT,SEPA Transfer
T0000193,C00015-A1,2022-04-14,76914.71,CHF,Debit,MA,Mobile
T0000194,C00015-A1,2023-12-08,72032.61,EUR,Debit,PA,SEPA Transfer
T0000195,C00015-A1,2023-01-23,28518.97,CHF,Debit,DE,SEPA Transfer
T0000196,C00015-A1,2023-09-23,21675.05,EUR,Credit,US,Mobile
T0000197,C00015-A1,2022-01-28,21480.03,CHF,Debit,BR,Intl Transfer
T0000198,C00015-A1,2023-06-25,57849.53,GBP,Debit,BE,Intl Transfer
T0000199,C00015-A1,2024-09-22,24309.56,EUR,Debit,US,Mobile
T0000200,C00015-A1,2023-07-17,59467.63,CHF,Credit,AE,Branch
T0000201,C00015-A1,2022-06-27,13873.31,GBP,Debit,MA,Intl Transfer
T0000202,C00015-A1,2022-12-14,35971.32,EUR,Credit,AE,Intl Transfer
T0000203,C00015-A2,2023-03-21,78201.83,USD,Debit,CN,Branch
T0000204,C00016-A1,2022-07-05,25961.22,GBP,Debit,KY,Web
T0000205,C00016-A1,2023-09-13,78569.17,GBP,Debit,FR,Web
T0000206,C00016-A1,2023-09-06,36967.16,GBP,Debit,IT,Mobile
T0000207,C00017-A1,2022-01-04,38146.0,CHF,Credit,ES,Branch
T0000208,C00017-A1,2023-12-16,61307.06,EUR,Debit,MA,Intl Transfer
T0000209,C00017-A1,2024-06-18,66297.3,EUR,Debit,CH,Mobile
T0000210,C00017-A1,2022-07-04,81936.25,EUR,Credit,BE,Branch
T0000211,C00017-A1,2022-10-30,54128.12,EUR,Debit,DE,Intl Transfer
T0000212,C00017-A1,2022-12-30,81061.44,GBP,Debit,PA,Intl Transfer
T0000213,C00017-A1,2023-04-12,49709.33,CHF,Debit,FR,Mobile
T0000214,C00017-A1,2022-05-23,81687.01,GBP,Credit,DE,SEPA Transfer
T0000215,C00017-A1,2024-04-11,82112.26,GBP,Debit,TR,SEPA Transfer
T0000216,C00017-A1,2023-07-02,87474.33,CHF,Debit,BR,Branch
T0000217,C00017-A1,2024-05-18,67795.59,EUR,Credit,BE,Mobile
T0000218,C00017-A2,2022-04-03,11278.49,USD,Credit,US,Intl Transfer
T0000219,C00017-A2,2024-12-29,46476.51,USD,Debit,IR,Mobile
T0000220,C00017-A2,2022-10-30,86244.29,USD,Credit,DE,Web
T0000221,C00017-A2,2022-09-23,5360.37,GBP,Debit,LU,Web
T0000222,C00017-A2,2023-02-20,80358.52,USD,Debit,RU,SEPA Transfer
T0000223,C00017-A2,2024-03-09,30210.49,USD,Debit,NG,SEPA Transfer
T0000224,C00017-A2,2023-10-04,5992.08,USD,Debit,NG,Branch
T0000225,C00017-A2,2023-08-12,29112.36,USD,Credit,TR,Branch
T0000226,C00017-A2,2023-03-14,3951.12,USD,Debit,IR,Branch
T0000227,C00017-A2,2023-07-26,86524.4,USD,Debit,SY,SEPA Transfer
T0000228,C00017-A2,2022-06-04,16321.66,CHF,Credit,BR,Mobile
T0000229,C00017-A2,2023-10-09,73710.59,EUR,Credit,XX,Branch
T0000230,C00017-A2,2024-03-26,28311.68,GBP,Credit,CH,Web
T0000231,C00018-A1,2022-01-29,24855.86,EUR,Debit,IT,Branch
T0000232,C00018-A1,2024-10-25,2852.66,GBP,Credit,TR,Intl Transfer
T0000233,C00018-A1,2024-06-19,4893.69,USD,Credit,PA,Mobile
T0000234,C00018-A1,2022-02-08,45552.79,EUR,Credit,MA,Branch
T0000235,C00018-A1,2024-02-02,82604.36,EUR,Debit,BE,Intl Transfer
T0000236,C00018-A1,2023-11-06,64848.57,CHF,Debit,CN,Web
T0000237,C00018-A1,2024-07-28,85825.33,CHF,Credit,PA,Branch
T0000238,C00018-A1,2023-06-15,30948.87,USD,Credit,PA,Web
T0000239,C00018-A1,2022-06-20,38950.51,GBP,Debit,BR,Intl Transfer
T0000240,C00018-A1,2022-01-02,9980.2,GBP,Debit,NG,SEPA Transfer
T0000241,C00018-A1,2023-09-24,71971.22,USD,Debit,US,SEPA Transfer
T0000242,C00018-A1,2022-03-26,78305.71,CHF,Debit,CN,Mobile
T0000243,C00019-A1,2023-10-24,87101.18,EUR,Debit,TR,Intl Transfer
T0000244,C00019-A1,2022-10-19,52666.53,CHF,Credit,NG,Branch
T0000245,C00019-A1,2024-08-15,17503.38,USD,Credit,TR,Mobile
T0000246,C00019-A1,2024-11-07,5435.61,USD,Credit,GB,Web
T0000247,C00019-A1,2023-11-02,5396.75,GBP,Credit,IR,Branch
T0000248,C00019-A1,2022-01-23,15718.52,USD,Debit,MA,Mobile
T0000249,C00019-A1,2024-08-21,6436.04,GBP,Debit,LU,Intl Transfer
T0000250,C00019-A1,2024-12-23,52897.51,USD,Debit,AE,SEPA Transfer
T0000251,C00019-A1,2023-12-12,60645.68,EUR,Debit,NG,Intl Transfer
T0000252,C00019-A1,2024-10-29,34993.62,GBP,Debit,US,SEPA Transfer
T0000253,C00019-A1,2023-04-26,71182.55,CHF,Credit,CH,SEPA Transfer
T0000254,C00019-A1,2024-09-30,70645.05,EUR,Debit,MA,Mobile
T0000255,C00019-A1,2023-12-23,64925.73,CHF,Credit,BR,SEPA Transfer
T0000256,C00019-A2,2023-01-22,58188.72,EUR,Debit,KP,Mobile
T0000257,C00019-A2,2023-10-05,75850.14,CHF,Credit,GB,Intl Transfer
T0000258,C00019-A2,2022-07-13,62173.49,EUR,Debit,XX,Intl Transfer
T0000259,C00019-A2,2024-08-02,6415.42,EUR,Debit,IT,Intl Transfer
T0000260,C00019-A2,2022-09-03,23553.03,GBP,Debit,GB,SEPA Transfer
T0000261,C00019-A2,2023-06-05,35328.96,USD,Credit,XX,Mobile
T0000262,C00019-A2,2023-09-15,54706.13,GBP,Debit,KY,Branch
T0000263,C00019-A2,2023-05-04,12956.75,USD,Debit,BE,SEPA Transfer
T0000264,C00019-A2,2024-06-22,69472.7,USD,Debit,ES,Mobile
T0000265,C00019-A2,2022-06-15,66488.11,EUR,Debit,IR,Intl Transfer
T0000266,C00019-A2,2023-09-20,16943.66,CHF,Debit,IT,Mobile
T0000267,C00020-A1,2023-08-30,13550.47,EUR,Credit,LU,Mobile
T0000268,C00020-A1,2024-10-12,40046.88,EUR,Debit,RU,SEPA Transfer
T0000269,C00020-A1,2023-01-12,79032.0,EUR,Debit,KY,Intl Transfer
T0000270,C00020-A1,2022-12-15,7681.56,CHF,Debit,BR,Intl Transfer
T0000271,C00020-A1,2023-12-15,27168.95,EUR,Credit,SY,Web
T0000272,C00020-A2,2022-10-01,4329.86,EUR,Credit,XX,SEPA Transfer
T0000273,C00020-A2,2022-11-02,46123.71,GBP,Debit,IT,Branch
T0000274,C00020-A2,2024-09-03,9534.3,GBP,Debit,NG,Mobile
T0000275,C00020-A2,2024-04-29,34170.4,CHF,Debit,SY,Mobile
T0000276,C00020-A2,2022-02-03,74957.51,GBP,Debit,US,Branch
T0000277,C00020-A2,2023-12-08,10485.45,EUR,Debit,TR,Branch
T0000278,C00020-A2,2024-06-26,27057.48,GBP,Credit,GB,Web
T0000279,C00020-A2,2023-03-02,977.54,USD,Debit,SY,Branch
T0000280,C00020-A2,2023-05-31,53765.6,EUR,Credit,FR,Branch
T0000281,C00020-A2,2022-08-19,1325.65,USD,Debit,LU,Mobile
T0000282,C00020-A2,2023-02-20,76224.62,GBP,Credit,FR,Mobile
T0000283,C00020-A2,2023-04-09,64275.34,EUR,Credit,MA,Web
T0000284,C00020-A2,2022-11-30,9441.78,CHF,Credit,ES,Branch
T0000285,C00020-A2,2023-12-27,66159.09,EUR,Credit,BR,Web
T0000286,C00020-A2,2023-09-26,64975.98,CHF,Credit,LU,Mobile
T0000287,C00021-A1,2023-01-06,2472.66,GBP,Debit,DE,Intl Transfer
T0000288,C00021-A1,2022-08-21,88770.92,GBP,Credit,IT,SEPA Transfer
T0000289,C00021-A1,2024-07-20,68795.47,GBP,Credit,IR,Branch
T0000290,C00021-A1,2022-04-14,54936.24,USD,Debit,IT,Intl Transfer
T0000291,C00021-A1,2022-11-14,80891.21,EUR,Debit,TR,Branch
T0000292,C00021-A1,2023-08-21,36017.31,USD,Debit,MA,Web
T0000293,C00021-A1,2022-07-24,15586.57,EUR,Debit,IT,Mobile
T0000294,C00021-A1,2022-01-22,16012.53,CHF,Debit,IT,Mobile
T0000295,C00021-A1,2022-09-07,20402.63,EUR,Credit,KP,Intl Transfer
T0000296,C00021-A1,2022-10-27,27734.07,CHF,Credit,DE,Mobile
T0000297,C00021-A2,2023-01-07,65455.29,EUR,Debit,IT,Web
T0000298,C00021-A3,2024-12-19,35109.61,CHF,Debit,GB,Intl Transfer
T0000299,C00021-A3,2024-05-11,85791.95,CHF,Debit,KY,Web
T0000300,C00021-A3,2024-05-01,86441.16,USD,Credit,NG,Intl Transfer
T0000301,C00021-A3,2024-02-08,27471.66,EUR,Debit,IR,Branch
T0000302,C00021-A3,2023-09-18,34435.68,CHF,Credit,CH,SEPA Transfer
T0000303,C00021-A3,2024-01-31,73002.7,USD,Credit,PA,Mobile
T0000304,C00021-A3,2022-08-10,25409.12,GBP,Credit,TR,Web
T0000305,C00021-A3,2023-10-23,84539.27,CHF,Debit,CH,Web
T0000306,C00022-A1,2024-08-04,81640.71,USD,Debit,PA,SEPA Transfer
T0000307,C00022-A1,2024-12-08,76293.07,CHF,Credit,BE,SEPA Transfer
T0000308,C00022-A1,2024-06-21,45789.03,CHF,Credit,KP,Mobile
T0000309,C00022-A2,2023-08-03,57813.39,GBP,Debit,LU,Web
T0000310,C00022-A2,2024-10-11,29084.15,GBP,Debit,BR,Branch
T0000311,C00022-A2,2023-10-06,12592.7,CHF,Credit,CN,SEPA Transfer
T0000312,C00022-A2,2024-11-14,83995.47,GBP,Debit,PA,Mobile
T0000313,C00022-A2,2022-12-29,30363.12,CHF,Debit,DE,Mobile
T0000314,C00022-A2,2024-09-26,57378.12,USD,Debit,KY,Intl Transfer
T0000315,C00022-A2,2024-01-12,70302.53,GBP,Debit,US,Intl Transfer
T0000316,C00022-A2,2022-07-26,6150.21,GBP,Debit,GB,Intl Transfer
T0000317,C00023-A1,2022-06-14,30783.48,CHF,Debit,IT,Web
T0000318,C00023-A1,2022-10-17,48497.89,GBP,Credit,NG,Branch
T0000319,C00023-A1,2024-01-23,6080.17,EUR,Debit,TR,Mobile
T0000320,C00023-A1,2024-04-14,23933.05,EUR,Credit,NG,Intl Transfer
T0000321,C00023-A1,2022-04-20,89306.93,GBP,Credit,FR,Web
T0000322,C00023-A1,2022-06-27,27168.43,GBP,Credit,RU,SEPA Transfer
T0000323,C00023-A2,2022-04-09,59023.73,CHF,Debit,SY,Intl Transfer
T0000324,C00023-A2,2022-08-17,18880.79,EUR,Debit,CH,Branch
T0000325,C00023-A2,2024-06-23,52861.55,EUR,Credit,SY,Mobile
T0000326,C00023-A2,2022-03-20,49645.3,EUR,Debit,PA,Web
T0000327,C00023-A2,2022-12-23,29210.26,EUR,Debit,TR,Web
T0000328,C00023-A2,2024-11-14,46587.81,GBP,Credit,RU,Mobile
T0000329,C00023-A2,2024-04-24,64704.39,EUR,Debit,IR,Intl Transfer
T0000330,C00024-A1,2024-07-09,66628.68,USD,Debit,MA,SEPA Transfer
T0000331,C00024-A1,2023-04-02,14785.66,CHF,Debit,MA,Mobile
T0000332,C00024-A1,2024-10-18,89016.29,USD,Debit,KY,SEPA Transfer
T0000333,C00024-A1,2024-07-15,11043.18,USD,Debit,NG,Branch
T0000334,C00024-A1,2024-02-28,29304.2,GBP,Debit,BE,Web
T0000335,C00024-A1,2022-08-06,85226.92,GBP,Credit,NG,Branch
T0000336,C00024-A1,2024-11-11,40697.67,GBP,Credit,BR,Mobile
T0000337,C00024-A1,2022-12-23,36874.44,CHF,Debit,SY,Web
T0000338,C00024-A1,2024-11-17,48845.31,CHF,Debit,AE,Mobile
T0000339,C00024-A1,2024-10-21,14844.97,EUR,Credit,RU,Web
T0000340,C00024-A1,2023-09-26,58133.32,EUR,Credit,BR,Branch
T0000341,C00024-A1,2022-08-10,57446.81,EUR,Credit,FR,Intl Transfer
T0000342,C00024-A1,2023-09-12,46096.27,GBP,Credit,ES,Mobile
T0000343,C00024-A2,2023-02-17,51642.45,EUR,Debit,CH,Web
